id,title,artist,genre,mood,energy,valence,tempo_bpm,danceability,acousticness,instrumentalness,mode,popularity
1,Blinding Lights,The Weeknd,pop,euphoric,0.80,0.33,171,0.51,0.00,0.00,major,97
2,Bohemian Rhapsody,Queen,rock,dramatic,0.41,0.44,72,0.35,0.18,0.02,minor,89
3,God's Plan,Drake,hip-hop,chill,0.45,0.43,77,0.75,0.01,0.01,minor,90
4,Clair de Lune,Debussy,classical,peaceful,0.01,0.27,69,0.20,0.99,0.99,minor,70
5,Fast Car,Tracy Chapman,folk,melancholy,0.50,0.42,97,0.54,0.57,0.00,major,82
6,Superstition,Stevie Wonder,soul,euphoric,0.76,0.87,101,0.80,0.07,0.00,major,86
7,Smells Like Teen Spirit,Nirvana,grunge,angry,0.92,0.41,117,0.48,0.00,0.00,minor,91
8,Redbone,Childish Gambino,r&b,chill,0.34,0.43,96,0.68,0.15,0.00,minor,85
9,Despacito,Luis Fonsi,latin pop,euphoric,0.79,0.81,89,0.85,0.23,0.00,major,89
10,Slow Burn,Kacey Musgraves,country,peaceful,0.36,0.55,74,0.62,0.42,0.00,major,78
11,Bad Guy,Billie Eilish,synth pop,dark,0.43,0.56,135,0.70,0.00,0.00,minor,90
12,Mr. Brightside,The Killers,indie rock,anxious,0.82,0.35,148,0.39,0.00,0.00,minor,93
13,Gymnopedie No. 1,Satie,classical,peaceful,0.01,0.34,76,0.16,0.99,0.99,major,71
14,Lose Yourself,Eminem,hip-hop,intense,0.77,0.36,171,0.59,0.24,0.00,minor,91
15,Space Song,Beach House,dream pop,peaceful,0.33,0.41,93,0.48,0.19,0.09,minor,79
16,Temperature,Sean Paul,dancehall,euphoric,0.81,0.89,105,0.85,0.07,0.00,major,82
17,Stubborn Love,Lumineers,indie folk,emotional,0.37,0.59,138,0.44,0.72,0.00,major,75
18,SICKO MODE,Travis Scott,hip-hop,aggressive,0.78,0.37,155,0.59,0.00,0.00,minor,88
